trajectory,node_id,x,y,altitude,time
0,0,441782.7959,4428131.247,492,02:53:04
0,1,440370.666,4428104.085,218,03:01:25
0,2,440314.1862,4428167.378,164,04:12:42
0,3,441076.6869,4428801.611,230,04:21:02
0,4,442149.4877,4429298.081,145,04:29:17
0,5,442059.7037,4430753.667,196,09:44:55
0,6,442124.9817,4430871.1,168,09:56:01
0,7,441839.3361,4430667.734,144,10:11:01
0,8,441819.2537,4430576.387,7544,10:27:25
0,9,442060.7876,4430828.725,92,11:10:37
1,0,439983.7611,4431208.719,492,00:38:26
1,1,439967.199,4431133.339,135,00:55:06
1,2,439989.0883,4431115.51,102,01:02:26
1,3,439953.7861,4430959.326,98,01:12:51
1,4,439874.3475,4430718.208,79,01:25:11
1,5,439879.8444,4430506.068,39,01:32:51
1,6,439951.8814,4430663.85,75,01:40:26
1,7,439974.1386,4430952.281,74,01:48:39
1,8,439935.7788,4430549.49,68,02:03:06
1,9,440007.9234,4430991.879,75,02:10:59
1,10,439946.9011,4431103.961,54,02:18:51
1,11,440311.5814,4430874.115,224,02:27:11
1,12,440496.0242,4430415.499,114,02:35:21
1,13,441058.3565,4430261.879,36,02:43:41
1,14,441978.1499,4430349.753,67,02:51:56
2,0,442419.1749,4429486.255,492,23:21:53
2,1,441444.2413,4430314.422,244,23:30:13
2,2,441017.5266,4430249.536,141,23:46:43
2,3,440512.041,4430410.71,303,23:55:03
2,4,440304.2061,4430902.712,291,00:03:23
2,5,439933.142,4431113.286,177,00:11:38
2,6,439943.7846,4431120.198,77,00:23:43
2,7,439964.1747,4431128.81,88,00:56:31
2,8,439985.0705,4431082.45,70,01:04:13
2,9,439995.0682,4430953.448,70,01:11:43
2,10,439991.0734,4430490.199,-14,01:20:03
2,11,439896.2818,4430792.435,42,01:34:38
2,12,439876.0174,4430648.57,43,01:45:33
2,13,439970.2988,4430887.683,81,01:56:03
2,14,440020.0784,4430605.68,46,02:06:28
2,15,439960.665,4430543.297,76,02:20:28
2,16,439992.6344,4430547.375,102,02:28:38
2,17,439956.7394,4431030.594,80,02:36:48
2,18,439980.0608,4430999.428,222,02:55:38
2,19,440363.4289,4430625.523,273,03:03:53
2,20,440712.1124,4430409.481,227,03:12:08
2,21,441087.2696,4430301.298,145,03:20:18
2,22,442023.9572,4430107.772,279,03:28:38
3,0,439979.4253,4431157.006,480,00:17:04
3,1,439968.2936,4431120.56,101,00:36:54
3,2,439957.853,4431128.416,100,00:44:19
3,3,439973.2958,4430986.156,146,00:52:14
3,4,439875.8871,4430718.529,117,01:00:04
3,5,439929.7557,4430738.425,220,01:08:14
3,6,439967.5274,4430666.281,366,01:16:29
3,7,439912.0017,4430901.579,114,01:24:34
3,8,439821.8931,4430887.967,198,01:32:34
3,9,439846.3226,4430737.751,58,01:40:44
3,10,439954.4567,4430698.032,111,01:48:24
3,11,439982.7529,4431080.914,289,01:56:44
3,12,440027.8841,4431043.469,424,02:04:59
3,13,440753.0901,4430309.222,424,02:20:29
3,14,441259.058,4430308.631,234,02:29:34
4,0,442475.6495,4429828.177,492,00:52:08
4,1,441990.3903,4430633.601,81,01:00:13
4,2,441891.4112,4430710.644,143,03:53:52
4,3,442438.4785,4430491.504,132,04:02:07
4,4,441494.0626,4430918.788,126,05:26:05
4,5,441508.4592,4430925.451,115,05:36:20
4,6,442368.5413,4430130.695,134,05:44:35
4,7,441961.6653,4429755.792,236,06:04:00
4,8,441878.2132,4429653.268,151,06:18:15
4,9,442363.6892,4430087.646,371,09:41:45
4,10,442168.0086,4430881.1,146,10:10:55
4,11,442557.3787,4429816.9,102,10:19:08
4,12,442298.3017,4430530.543,119,16:00:56
4,13,441510.669,4430924.101,118,16:09:11
5,0,441769.4712,4430632.401,492,00:39:04
5,1,442070.3606,4430033.463,102,00:49:59
5,2,441788.0606,4429579.446,254,01:10:24
5,3,442105.2184,4429429.116,198,01:24:43
5,4,442560.6196,4429816.32,118,01:47:18
5,5,442281.9299,4430860.136,148,03:56:51
5,6,442297.0136,4430495.795,26,04:24:36
5,7,442358.4929,4429965.315,76,08:57:40
5,8,442079.7008,4430867.891,79,09:31:30
5,9,442086.7145,4429780.934,125,09:39:45
5,10,441800.0164,4428864.34,211,09:48:05
5,11,441692.2263,4428797.428,233,10:27:50
5,12,441691.6523,4428800.542,175,10:35:18
5,13,441697.1073,4428799.056,228,10:42:50
5,14,441691.6807,4428793.102,179,10:50:15
6,0,442530.6189,4429835.646,1175,06:07:32
6,1,442321.6029,4430281.182,114,09:46:56
6,2,442174.3362,4431017.081,76,10:00:21
6,3,442127.2678,4430958.363,95,10:11:01
6,4,442347.1888,4430220.469,150,10:19:06
6,5,441733.007,4430542.956,262,11:35:10
6,6,441510.8934,4430953.305,114,11:47:55
6,7,441904.8934,4430731.75,283,12:00:15
6,8,441626.7074,4430890.008,-119,15:18:33
6,9,442044.122,4430288.621,189,15:30:33
6,10,442503.0682,4429874.053,404,15:38:53
7,0,441237.057,4430002.984,130,01:16:57
7,1,441728.4326,4430547.766,105,01:24:53
7,2,442426.4401,4430514.359,156,04:10:21
7,3,441917.0759,4430694.457,129,05:22:35
7,4,441510.0362,4430930.658,159,05:31:25
7,5,441520.7374,4430934.24,221,05:45:38
7,6,441725.1011,4430614.529,117,05:53:20
7,7,442559.5279,4429818.771,111,06:01:30
7,8,442500.8658,4428247.94,87,07:51:40
7,9,442473.8473,4428108.784,192,08:04:40
7,10,445950.0541,4428259.101,132,08:12:50
7,11,449706.6022,4427790.64,318,08:20:53
7,12,452623.0753,4427709.201,170,08:28:45
7,13,456424.6347,4429043.421,133,08:37:05
7,14,465160.661,4433421.03,88,08:45:25
7,15,466486.2177,4434734.337,40,08:53:45
7,16,464820.6921,4438506.919,142,09:01:55
7,17,462851.651,4433515.353,187,09:20:40
7,18,454545.7736,4426910.76,177,09:29:00
7,19,449740.6069,4428387.045,324,09:37:10
7,20,445507.4768,4428255.259,227,09:45:25
7,21,442011.5476,4428186.801,68,09:56:25
7,22,441912.7788,4428889.13,163,10:04:35
7,23,441845.0004,4429531.484,186,10:12:35
7,24,441713.9755,4430165.328,117,10:20:40
7,25,441468.0596,4430890.783,202,10:28:55
7,26,441543.4665,4430958.495,203,10:43:35
7,27,441544.4651,4430888.419,190,11:03:10
7,28,441490.7907,4430937.469,117,11:19:40
7,29,441525.9835,4430905.772,145,11:29:40
7,30,441653.0899,4430833.95,138,11:37:05
7,31,441895.8502,4430620.997,146,11:49:05
7,32,441890.7403,4430723.419,119,12:05:05
7,33,441888.1239,4430693.901,114,12:19:20
7,34,441708.541,4430559.578,189,12:27:00
7,35,441591.8943,4430904.489,129,12:41:48
7,36,441770.9655,4431117.766,163,12:50:15
7,37,441528.5058,4430900.645,159,13:12:40
7,38,441536.3526,4430910.579,156,13:20:10
7,39,441533.569,4430915.042,332,13:32:48
7,40,441541.7334,4430921.864,68,13:45:40
7,41,441530.0469,4430912.293,173,14:04:00
7,42,441545.5996,4430924.943,123,14:17:55
7,43,441532.0065,4430922.827,181,14:40:05
7,44,441517.4443,4430905.727,118,14:47:15
7,45,441531.2748,4430905.399,104,14:54:33
7,46,441514.8768,4430904.969,112,15:25:40
7,47,441520.6565,4430890.378,120,15:32:55
7,48,441520.7691,4430905.035,176,15:40:45
7,49,441520.6556,4430901.372,154,16:01:45
7,50,441517.8626,4430904.613,111,16:08:55
7,51,441504.938,4430911.709,190,16:22:40
7,52,441533.7212,4430890.389,138,16:37:58
7,53,441518.2375,4430897.837,124,17:04:23
7,54,441497.3234,4430920.873,112,17:11:40
7,55,441518.8309,4430908.381,130,17:18:55
7,56,441510.5495,4430908.556,131,17:31:25
7,57,441548.6686,4430890.94,270,17:38:45
7,58,441629.1122,4430914.086,415,17:52:55
7,59,441566.7565,4430877.92,313,18:00:45
7,60,441509.3439,4430896.128,179,18:12:00
7,61,441555.2603,4430882.006,169,18:26:20
7,62,441552.3316,4430889.802,184,18:37:15
7,63,441505.6561,4430916.256,143,18:52:20
7,64,441524.3646,4430917.334,135,18:59:30
7,65,441522.1712,4430898.584,108,19:38:25
7,66,441527.6861,4430905.093,107,19:45:38
7,67,441537.8169,4430912.233,97,19:52:35
7,68,441530.6412,4430911.844,129,19:59:45
7,69,441507.6566,4430932.12,135,20:28:00
7,70,441534.9891,4430899.818,179,20:35:30
7,71,441540.3376,4430884.675,174,20:44:45
7,72,441515.0638,4430895.973,282,20:55:40
7,73,441521.757,4430900.253,154,21:03:45
7,74,441547.9442,4430930.034,193,21:19:05
7,75,441508.0613,4430929.23,135,21:34:10
7,76,441520.7298,4430911.032,115,21:50:50
7,77,441560.169,4430887.41,128,22:19:05
7,78,441508.9101,4430917.452,132,22:26:30
7,79,441520.6265,4430919.805,117,22:34:05
7,80,441522.902,4430915.901,70,23:06:15
7,81,441504.2327,4430919.931,98,23:13:40
7,82,441522.791,4430901.466,119,23:21:00
7,83,441495.7831,4430887.127,53,23:41:50
7,84,441519.1263,4430902.383,49,23:49:20
7,85,441541.1493,4430934.75,-4,00:00:48
7,86,441549.1258,4430939.352,34,00:12:10
7,87,441531.4378,4430915.502,20,00:29:40
7,88,441513.1366,4430922.972,10,00:43:55
7,89,441511.9532,4430913.431,-11,01:09:25
7,90,441520.1202,4430898.378,43,01:16:50
7,91,441519.8914,4430890.828,101,01:24:13
7,92,441524.0784,4430946.763,73,01:49:45
7,93,441530.0981,4430918.955,85,01:57:20
7,94,441519.9648,4430911.482,133,02:14:20
7,95,441522.1958,4430924.013,67,02:32:05
7,96,441526.4395,4430909.544,96,02:39:25
7,97,441529.7934,4430901.523,108,03:05:00
7,98,441527.9568,4430906.979,121,03:11:50
7,99,441552.1365,4430942.216,105,03:33:00
7,100,441305.699,4430698.038,138,06:51:53
7,101,440987.9876,4430096.412,118,06:59:04
7,102,440773.2772,4429687.992,141,07:07:02
7,103,439397.6428,4429382.452,141,07:14:49
7,104,438287.7806,4429488.422,134,07:22:49
7,105,438072.6148,4429485.061,143,07:30:34
7,106,438027.8576,4429222.248,154,07:38:29
7,107,437964.1336,4428728.504,174,07:46:49
7,108,437834.9741,4428674.701,130,08:17:29
7,109,437662.393,4428753.067,118,08:25:24
7,110,437980.4841,4428774.899,112,08:33:34
7,111,438013.919,4429283.103,130,08:41:49
7,112,437890.6096,4429568.274,122,08:49:34
7,113,437814.237,4429544.911,124,09:00:59
7,114,437456.4538,4429449.123,148,09:21:54
7,115,437158.3017,4429511.654,140,09:29:49
7,116,437090.4559,4429724.645,157,09:37:44
7,117,437157.2562,4429953.958,169,09:45:49
7,118,437604.8154,4430023.344,186,09:53:54
7,119,438125.9032,4429925.701,202,10:02:14
7,120,439019.0937,4429347.387,141,10:10:19
7,121,441325.8721,4428063.463,222,10:18:29
7,122,441866.8422,4427022.164,123,10:26:29
7,123,449118.7291,4419656.423,265,11:25:44
7,124,449152.5965,4419682.736,258,11:54:42
7,125,449170.2467,4419675.068,263,12:01:44
7,126,449095.8905,4419758.066,302,12:09:09
7,127,449144.4049,4419903.651,222,12:16:39
7,128,449072.7015,4420230.145,244,12:24:27
7,129,448931.6579,4420223.758,200,12:31:29
7,130,448478.0892,4419406.879,70,12:39:29
7,131,447788.1119,4418413.973,144,12:51:24
7,132,446773.8827,4418555.332,123,13:04:44
7,133,444471.3926,4419821.72,142,13:12:44
7,134,443891.9146,4422165.396,193,13:20:54
7,135,442059.6955,4422888.655,192,13:28:49
7,136,441630.7929,4425271.031,281,13:36:54
7,137,441203.6166,4426932.311,335,13:44:49
7,138,440944.099,4428214.436,647,13:52:34
7,139,441328.5964,4430788.252,232,14:00:34
7,140,441528.9251,4430899.642,231,14:08:14
7,141,441523.0257,4430932.002,137,14:29:07
8,0,441564.9665,4430744.902,-466,05:19:38
8,1,441901.7778,4430715.117,49,05:27:53
8,2,442313.9519,4430195.625,-104,05:35:53
8,3,442538.4671,4429857.129,276,05:45:13
8,4,442547.078,4429866.503,199,06:14:53
8,5,442520.6473,4429091.836,528,06:24:03
8,6,442889.9166,4428915.607,149,06:47:03
8,7,444197.6712,4423096.355,200,07:06:13
8,8,445977.5414,4423784.996,140,07:26:33
8,9,446322.0603,4423541.824,164,07:34:33
8,10,446638.6621,4423287.981,135,07:53:48
8,11,446955.583,4423163.069,133,08:01:53
8,12,447293.3427,4422935.202,137,08:10:13
8,13,447647.8348,4422888.122,139,08:22:08
8,14,447841.0437,4422867.477,143,08:29:33
8,15,447854.3819,4422855.504,208,08:51:03
8,16,447857.3373,4422862.702,406,08:58:33
8,17,447931.9002,4422591.029,149,09:27:13
8,18,447874.3255,4422609.3,117,09:35:28
8,19,447865.5134,4422257.913,127,09:43:33
8,20,447167.7786,4422491.126,115,09:54:43
8,21,446456.1583,4423565.422,100,10:02:48
8,22,446661.4606,4423663.588,111,10:12:18
8,23,447257.3969,4423089.354,80,11:29:58
8,24,447615.8411,4422872.018,123,11:38:03
8,25,447769.9478,4422558.49,136,11:46:23
8,26,447553.8521,4422309.907,137,11:54:33
8,27,447492.8381,4422263.356,137,12:02:18
8,28,447015.9373,4422229.01,156,12:10:13
8,29,445040.4317,4422154.372,105,12:18:03
8,30,444992.3157,4422156.162,323,12:25:28
8,31,443293.6864,4422730.029,153,12:33:28
8,32,442184.8944,4422896.255,155,12:41:31
8,33,442430.4901,4424370.162,278,12:49:23
8,34,442576.456,4426581.38,159,12:57:06
8,35,442526.7616,4428691.143,149,13:05:03
8,36,442501.6022,4429239.003,167,13:13:08
8,37,442134.6963,4430239.627,213,13:21:18
8,38,441730.2374,4430582.731,245,13:38:53
8,39,441399.6253,4431074.422,468,13:52:23
8,40,441494.779,4430900.904,167,14:00:03
9,0,441271.7574,4430748.048,158,02:37:02
9,1,440980.7135,4429565.786,193,02:44:57
9,2,442129.6111,4428087.407,145,02:52:47
9,3,448407.8757,4428312.454,162,03:06:47
9,4,450484.14,4428359.743,153,03:14:57
9,5,456660.8706,4429313.79,63,03:23:17
9,6,465720.137,4433016.967,52,03:31:35
9,7,465883.8857,4434715.808,57,03:39:55
9,8,464842.5988,4438356.357,71,03:47:45
9,9,464940.5587,4438548.671,197,04:25:40
9,10,464711.2445,4438523.195,-60,04:37:35
9,11,463720.5276,4434509.299,58,04:49:30
9,12,455722.7436,4428261.412,95,04:57:50
9,13,449764.121,4428403.768,58,05:06:05
9,14,443440.4269,4428207.369,150,05:14:15
9,15,442065.4108,4428148.303,169,05:30:38
9,16,441017.0988,4429400.825,108,05:38:30
9,17,441506.1922,4430941.57,99,05:46:25
9,18,441731.6406,4430598.711,132,05:58:06
9,19,442302.6159,4430142.188,161,07:02:50
9,20,442491.658,4429132.364,280,08:07:56
9,21,442496.4431,4428849.943,249,09:55:52
9,22,442505.1125,4429545.458,181,10:42:22
10,0,442111.7575,4431130.711,-381,02:19:35
10,1,442547.1713,4429810.98,127,07:34:18
10,2,442489.3747,4428999.684,377,07:48:53
10,3,440986.6157,4429611.046,211,07:56:53
10,4,439644.8795,4428647.703,180,08:04:48
10,5,439647.5964,4428149.868,225,08:12:48
10,6,437542.186,4424403.196,195,08:20:58
10,7,434186.8419,4421417.758,251,08:29:13
10,8,432000.6085,4418561.399,240,08:37:33
10,9,436005.1918,4409413.035,198,08:45:58
10,10,440064.8946,4403859.139,122,08:54:18
10,11,439105.3041,4405100.244,135,13:10:23
10,12,438320.6319,4408100.52,129,13:18:38
10,13,438163.7565,4414834.607,164,13:26:53
10,14,437515.8819,4423560.583,178,13:35:08
10,15,440004.3982,4428008.798,121,13:43:18
10,16,441036.98,4428935.283,156,13:51:08
10,17,442465.9026,4429216.508,146,13:59:18
10,18,442323.547,4429940.484,196,17:06:33